Time [s],Channel 0
0.511163040,0
0.511165120,1
0.511166400,0
0.511168480,1
0.511169720,0
0.511171800,1
0.511173040,0
0.511175120,1
0.511176400,0
0.511178480,1
0.511179720,0
0.511181800,1
0.511183040,0
0.511185120,1
0.511186400,0
0.511188480,1
0.511189720,0
0.511191800,1
0.511193040,0
0.511195120,1
0.511196400,0
0.511198480,1
0.511199720,0
0.511201800,1
0.511203040,0
0.511205120,1
0.511206400,0
0.515307240,1
0.515308480,0
0.515310560,1
0.515311840,0
0.515313920,1
0.515315160,0
0.515317240,1
0.515318480,0
0.515320560,1
0.515321840,0
0.515323920,1
0.515325160,0
0.515327240,1
0.515328480,0
0.515330560,1
0.515331840,0
0.515333920,1
0.515335160,0
0.515337240,1
0.515338480,0
0.515340560,1
0.515341840,0
0.515343920,1
0.515345160,0
0.515347240,1
0.515348480,0
0.515350560,1
0.515351840,0
0.515353920,1
0.515355160,0
0.515357240,1
0.515358480,0
0.519978960,1
0.519980240,0
0.519982320,1
0.519983560,0
0.519985640,1
0.519986880,0
0.519988960,1
0.519990240,0
0.519992320,1
0.519993560,0
0.519995640,1
0.519996880,0
0.519998960,1
0.520000240,0
0.520002320,1
0.520003560,0
0.520005640,1
0.520006880,0
0.520008960,1
0.520010240,0
0.520012320,1
0.520013560,0
0.520015640,1
0.520016880,0
0.520018960,1
0.520020240,0
0.520022320,1
0.520023560,0
0.520025640,1
0.520026880,0
0.520028960,1
0.520030240,0
0.523227560,1
0.523228800,0
0.523230880,1
0.523232160,0
0.523234240,1
0.523235480,0
0.523237560,1
0.523238800,0
0.523240880,1
0.523242160,0
0.523244240,1
0.523245480,0
0.523247560,1
0.523248800,0
0.523250880,1
0.523252160,0
0.523254240,1
0.523255480,0
0.523257560,1
0.523258800,0
0.523260880,1
0.523262160,0
0.523264240,1
0.523265480,0
0.523267560,1
0.523268800,0
0.523270880,1
0.523272160,0
0.523274240,1
0.523275480,0
0.523277560,1
0.523278800,0
0.527287720,1
0.527288960,0
0.527291040,1
0.527292280,0
0.527294360,1
0.527295640,0
0.527297720,1
0.527298960,0
0.527301040,1
0.527302280,0
0.527304360,1
0.527305640,0
0.527307720,1
0.527308960,0
0.527311040,1
0.527312280,0
0.527314360,1
0.527315640,0
0.527317720,1
0.527318960,0
0.527321040,1
0.527322280,0
0.527324360,1
0.527325640,0
0.527327720,1
0.527328960,0
0.527331040,1
0.527332280,0
0.527334360,1
0.527335640,0
0.527337720,1
0.527338960,0
0.531174320,1
0.531175600,0
0.531177640,1
0.531178920,0
0.531181000,1
0.531182240,0
0.531184320,1
0.531185600,0
0.531187640,1
0.531188920,0
0.531191000,1
0.531192240,0
0.531194320,1
0.531195600,0
0.531197640,1
0.531198920,0
0.531201000,1
0.531202240,0
0.531204320,1
0.531205600,0
0.531207640,1
0.531208920,0
0.531211000,1
0.531212240,0
0.531214320,1
0.531215600,0
0.531217640,1
0.531218920,0
0.531221000,1
0.531222240,0
0.531224320,1
0.531225600,0
0.535289520,1
0.535290760,0
0.535292840,1
0.535294080,0
0.535296160,1
0.535297440,0
0.535299520,1
0.535300760,0
0.535302840,1
0.535304080,0
0.535306160,1
0.535307440,0
0.535309520,1
0.535310760,0
0.535312840,1
0.535314080,0
0.535316160,1
0.535317440,0
0.535319520,1
0.535320760,0
0.535322840,1
0.535324080,0
0.535326160,1
0.535327440,0
0.535329520,1
0.535330760,0
0.535332840,1
0.535334080,0
0.535336160,1
0.535337440,0
0.535339520,1
0.535340760,0
0.539225400,1
0.539226680,0
0.539228760,1
0.539230000,0
0.539232080,1
0.539233320,0
0.539235400,1
0.539236680,0
0.539238760,1
0.539240000,0
0.539242080,1
0.539243320,0
0.539245400,1
0.539246680,0
0.539248760,1
0.539250000,0
0.539252080,1
0.539253320,0
0.539255400,1
0.539256680,0
0.539258760,1
0.539260000,0
0.539262080,1
0.539263320,0
0.539265400,1
0.539266680,0
0.539268760,1
0.539270000,0
0.539272080,1
0.539273320,0
0.539275400,1
0.539276680,0
0.543288120,1
0.543289360,0
0.543291440,1
0.543292680,0
0.543294760,1
0.543296040,0
0.543298120,1
0.543299360,0
0.543301440,1
0.543302680,0
0.543304760,1
0.543306040,0
0.543308120,1
0.543309360,0
0.543311440,1
0.543312680,0
0.543314760,1
0.543316040,0
0.543318120,1
0.543319360,0
0.543321440,1
0.543322680,0
0.543324760,1
0.543326040,0
0.543328120,1
0.543329360,0
0.543331440,1
0.543332680,0
0.543334760,1
0.543336040,0
0.543338120,1
0.543339360,0
0.547310560,1
0.547311840,0
0.547313920,1
0.547315160,0
0.547317240,1
0.547318480,0
0.547320560,1
0.547321840,0
0.547323920,1
0.547325160,0
0.547327240,1
0.547328480,0
0.547330560,1
0.547331840,0
0.547333920,1
0.547335160,0
0.547337240,1
